lambda_um,PC1_plus,PC2_plus,PC3_plus,PC4_plus,PC5_plus,PC6_plus,PC7_plus,PC8_plus,PC9_plus,PC1_minus,PC2_minus,PC3_minus,PC4_minus,PC5_minus,PC6_minus,PC7_minus,PC8_minus,PC9_minus
2.547121752,0.000714569,-7.34E-05,3.14E-05,3.81E-05,2.33E-05,4.50E-05,-3.13E-05,3.51E-05,-6.32E-06,-0.000647058,7.41E-05,-3.14E-05,-3.79E-05,-2.33E-05,-4.47E-05,3.13E-05,-3.50E-05,6.32E-06
2.547770701,0.000713589,-7.10E-05,2.96E-05,3.62E-05,2.31E-05,4.42E-05,-3.14E-05,3.68E-05,-7.70E-06,-0.000643955,7.16E-05,-2.96E-05,-3.60E-05,-2.31E-05,-4.41E-05,3.14E-05,-3.68E-05,7.55E-06
2.54841998,0.000716305,-7.11E-05,2.99E-05,3.63E-05,2.33E-05,4.45E-05,-3.14E-05,3.71E-05,-7.54E-06,-0.000646245,7.21E-05,-2.96E-05,-3.60E-05,-2.31E-05,-4.40E-05,3.16E-05,-3.68E-05,7.70E-06
2.54906959,0.000721326,-7.40E-05,3.17E-05,3.83E-05,2.35E-05,4.54E-05,-3.17E-05,3.56E-05,-6.46E-06,-0.000653302,7.48E-05,-3.17E-05,-3.82E-05,-2.35E-05,-4.52E-05,3.17E-05,-3.56E-05,6.46E-06
2.549719531,0.000732341,-7.55E-05,3.21E-05,3.88E-05,2.43E-05,4.54E-05,-3.09E-05,3.41E-05,-6.00E-06,-0.000665275,7.63E-05,-3.20E-05,-3.88E-05,-2.43E-05,-4.52E-05,3.09E-05,-3.41E-05,5.85E-06
2.550369804,0.000725972,-7.46E-05,3.21E-05,3.87E-05,2.37E-05,4.58E-05,-3.18E-05,3.58E-05,-6.46E-06,-0.000657403,7.55E-05,-3.20E-05,-3.84E-05,-2.35E-05,-4.55E-05,3.20E-05,-3.55E-05,6.46E-06
2.551020408,0.00072514,-7.22E-05,3.01E-05,3.67E-05,2.34E-05,4.50E-05,-3.20E-05,3.75E-05,-7.84E-06,-0.000654609,7.28E-05,-3.01E-05,-3.67E-05,-2.35E-05,-4.49E-05,3.20E-05,-3.73E-05,7.68E-06
2.551671345,0.000730146,-7.54E-05,3.26E-05,3.93E-05,2.38E-05,4.62E-05,-3.21E-05,3.59E-05,-6.30E-06,-0.000661493,7.62E-05,-3.24E-05,-3.89E-05,-2.37E-05,-4.59E-05,3.23E-05,-3.58E-05,6.45E-06
2.552322614,0.000730848,-7.48E-05,3.21E-05,3.87E-05,2.36E-05,4.62E-05,-3.22E-05,3.67E-05,-6.75E-06,-0.000661156,7.55E-05,-3.19E-05,-3.85E-05,-2.36E-05,-4.59E-05,3.24E-05,-3.65E-05,6.75E-06
2.552974215,0.000733083,-7.27E-05,3.05E-05,3.71E-05,2.38E-05,4.56E-05,-3.21E-05,3.79E-05,-7.82E-06,-0.000661585,7.36E-05,-3.02E-05,-3.68E-05,-2.36E-05,-4.51E-05,3.24E-05,-3.76E-05,7.98E-06
2.553626149,0.000735469,-7.47E-05,3.21E-05,3.86E-05,2.39E-05,4.63E-05,-3.24E-05,3.73E-05,-7.05E-06,-0.000664928,7.56E-05,-3.17E-05,-3.83E-05,-2.38E-05,-4.60E-05,3.27E-05,-3.70E-05,7.05E-06
2.554278416,0.000751034,-7.74E-05,3.28E-05,3.97E-05,2.50E-05,4.63E-05,-3.14E-05,3.48E-05,-6.13E-06,-0.000682675,7.80E-05,-3.26E-05,-3.95E-05,-2.50E-05,-4.61E-05,3.14E-05,-3.46E-05,5.98E-06
2.554931017,0.000750344,-7.72E-05,3.29E-05,3.98E-05,2.48E-05,4.67E-05,-3.17E-05,3.54E-05,-6.13E-06,-0.000680947,7.81E-05,-3.26E-05,-3.95E-05,-2.48E-05,-4.63E-05,3.19E-05,-3.52E-05,6.28E-06
2.555583951,0.000755013,-7.76E-05,3.29E-05,3.98E-05,2.51E-05,4.65E-05,-3.17E-05,3.51E-05,-6.28E-06,-0.000685805,7.84E-05,-3.28E-05,-3.97E-05,-2.51E-05,-4.64E-05,3.17E-05,-3.51E-05,6.12E-06
2.556237219,0.000766258,-7.79E-05,3.23E-05,3.93E-05,2.60E-05,4.59E-05,-3.03E-05,3.38E-05,-6.27E-06,-0.000696933,7.87E-05,-3.23E-05,-3.92E-05,-2.60E-05,-4.58E-05,3.05E-05,-3.37E-05,6.12E-06
2.556890821,0.000766479,-7.82E-05,3.27E-05,3.98E-05,2.60E-05,4.65E-05,-3.09E-05,3.44E-05,-6.12E-06,-0.000696882,7.91E-05,-3.26E-05,-3.96E-05,-2.59E-05,-4.62E-05,3.11E-05,-3.41E-05,6.27E-06
2.557544757,0.000763335,-7.86E-05,3.33E-05,4.02E-05,2.54E-05,4.71E-05,-3.20E-05,3.53E-05,-6.27E-06,-0.000693774,7.93E-05,-3.32E-05,-4.02E-05,-2.55E-05,-4.69E-05,3.20E-05,-3.52E-05,6.12E-06
2.558199028,0.000764931,-7.87E-05,3.36E-05,4.06E-05,2.55E-05,4.75E-05,-3.21E-05,3.58E-05,-6.11E-06,-0.000694947,7.98E-05,-3.33E-05,-4.02E-05,-2.54E-05,-4.71E-05,3.22E-05,-3.53E-05,6.26E-06
2.558853634,0.000763776,-7.90E-05,3.38E-05,4.08E-05,2.52E-05,4.78E-05,-3.27E-05,3.62E-05,-6.26E-06,-0.000693675,7.97E-05,-3.38E-05,-4.06E-05,-2.52E-05,-4.75E-05,3.28E-05,-3.62E-05,6.26E-06
2.559508574,0.000757737,-7.78E-05,3.36E-05,4.05E-05,2.46E-05,4.79E-05,-3.36E-05,3.79E-05,-6.87E-06,-0.000685993,7.86E-05,-3.34E-05,-4.03E-05,-2.46E-05,-4.78E-05,3.36E-05,-3.77E-05,6.87E-06
